feeling blue	feeling_blue
psychogenic amnesia	psychogenic_amnesia
psychotic disorder	psychotic_disorder
pyromania	pyromania
reactive attachment disorder of infancy or early childhood	reactive_attachment_disorder of_infancy_or_early_childhood
recurrent brief depression	recurrent_brief_depression
relational disorder	relational_disorder
residual schizophrenia	residual_schizophrenia
retrograde amnesia	retrograde_amnesia
rumination syndrome	rumination_syndrome
schizoaffective disorder	schizoaffective_disorder
schizoid personality disorder	schizoid_personality_disorder
schizophrenia	schizophrenia
schizophreniform disorder	schizophreniform_disorder
schizotypal personality disorder	schizotypal_personality_disorder
seasonal affective disorder	seasonal_affective_disorder
sedative-, hypnotic-, or anxiolytic-related disorder	sedative-, hypnotic-,_or anxiolytic-related_disorder
sedative-related disorder	sedative-related_disorder
hypnotic-related disorder	hypnotic-related_disorder
anxiolytic-related disorder	anxiolytic-related_disorder
selective mutism	selective_mutism
separation anxiety disorder	separation_anxiety_disorder
sexual fetishism	sexual_fetishism
shared psychotic disorder	shared_psychotic_disorder
sleep disorder	sleep_disorder
sleep terror disorder	sleep_terror_disorder
sleepwalking disorder	sleepwalking_disorder
sleep paralysis	sleep_paralysis
social anxiety disorder	social_anxiety_disorder
social phobia	social_phobia
somatization disorder	somatization_disorder
somatoform disorder	somatoform_disorder
specific phobia	specific_phobia
stereotypic movement disorder	stereotypic_movement_disorder
stockholm syndrome	stockholm_syndrome
stuttering	stuttering
substance-related disorder	substance-related_disorder
suicidal ideation	suicidal_ideation
suicidal thoughts	suicidal_thoughts
suicide	suicide
tardive dyskinesia	tardive_dyskinesia
tic disorder	tic_disorder
tourettes syndrome	tourettes_syndrome
transient global amnesia	transient_global_amnesia
transvestic disorder	transvestic_disorder
trichotillomania	trichotillomania
trauma cases	trauma_cases
undifferentiated somatoform disorder	undifferentiated_somatoform_disorder
